controller,kp,ki,kd,mean_error,final_error,max_error,overshoot,settling_time
manual_baseline,2.0,0.0,0.2,0.060575294530122864,9.085660967134146e-05,0.5491841545252311,0.22906928453697517,2.94
ga_evolved,6.0,0.0,1.4980021314026066,0.03506576404318382,0.0,0.5491841545252311,4.5066114129244106e-05,0.86
